0,1,2,3,4,5,6,7,8,9,10,11
V,,,,,,,,,,,
hV,,,,,,,,,,,
A,,,,,,,,,,,
hA,,,,,,,,,,,
Je,,,,,,,,,,,
hJe,,,,,,,,,,,
S,,,,,,,,,,,
hS,,,,,,,,,,,
C,,,,,,,,,,,
hC,,,,,,,,,,,
P,,,,,,,,,,,
hP,,,,,,,,,,,
V,hV,,,,,,,,,,
V,A,,,,,,,,,,
V,hA,,,,,,,,,,
V,Je,,,,,,,,,,
V,hJe,,,,,,,,,,
V,S,,,,,,,,,,
V,hS,,,,,,,,,,
V,C,,,,,,,,,,
V,hC,,,,,,,,,,
V,P,,,,,,,,,,
V,hP,,,,,,,,,,
hV,A,,,,,,,,,,
hV,hA,,,,,,,,,,
hV,Je,,,,,,,,,,
hV,hJe,,,,,,,,,,
hV,S,,,,,,,,,,
hV,hS,,,,,,,,,,
hV,C,,,,,,,,,,
hV,hC,,,,,,,,,,
hV,P,,,,,,,,,,
hV,hP,,,,,,,,,,
A,hA,,,,,,,,,,
A,Je,,,,,,,,,,
A,hJe,,,,,,,,,,
A,S,,,,,,,,,,
A,hS,,,,,,,,,,
A,C,,,,,,,,,,
A,hC,,,,,,,,,,
A,P,,,,,,,,,,
A,hP,,,,,,,,,,
hA,Je,,,,,,,,,,
hA,hJe,,,,,,,,,,
hA,S,,,,,,,,,,
hA,hS,,,,,,,,,,
hA,C,,,,,,,,,,
hA,hC,,,,,,,,,,
hA,P,,,,,,,,,,
hA,hP,,,,,,,,,,
Je,hJe,,,,,,,,,,
Je,S,,,,,,,,,,
Je,hS,,,,,,,,,,
Je,C,,,,,,,,,,
Je,hC,,,,,,,,,,
Je,P,,,,,,,,,,
Je,hP,,,,,,,,,,
hJe,S,,,,,,,,,,
hJe,hS,,,,,,,,,,
hJe,C,,,,,,,,,,
hJe,hC,,,,,,,,,,
hJe,P,,,,,,,,,,
hJe,hP,,,,,,,,,,
S,hS,,,,,,,,,,
S,C,,,,,,,,,,
S,hC,,,,,,,,,,
S,P,,,,,,,,,,
S,hP,,,,,,,,,,
hS,C,,,,,,,,,,
hS,hC,,,,,,,,,,
hS,P,,,,,,,,,,
hS,hP,,,,,,,,,,
C,hC,,,,,,,,,,
C,P,,,,,,,,,,
C,hP,,,,,,,,,,
hC,P,,,,,,,,,,
hC,hP,,,,,,,,,,
P,hP,,,,,,,,,,
V,hV,A,,,,,,,,,
V,hV,hA,,,,,,,,,
V,hV,Je,,,,,,,,,
V,hV,hJe,,,,,,,,,
V,hV,S,,,,,,,,,
V,hV,hS,,,,,,,,,
V,hV,C,,,,,,,,,
V,hV,hC,,,,,,,,,
V,hV,P,,,,,,,,,
V,hV,hP,,,,,,,,,
V,A,hA,,,,,,,,,
V,A,Je,,,,,,,,,
V,A,hJe,,,,,,,,,
V,A,S,,,,,,,,,
V,A,hS,,,,,,,,,
V,A,C,,,,,,,,,
V,A,hC,,,,,,,,,
V,A,P,,,,,,,,,
V,A,hP,,,,,,,,,
V,hA,Je,,,,,,,,,
V,hA,hJe,,,,,,,,,
V,hA,S,,,,,,,,,
V,hA,hS,,,,,,,,,
V,hA,C,,,,,,,,,
V,hA,hC,,,,,,,,,
V,hA,P,,,,,,,,,
V,hA,hP,,,,,,,,,
V,Je,hJe,,,,,,,,,
V,Je,S,,,,,,,,,
V,Je,hS,,,,,,,,,
V,Je,C,,,,,,,,,
V,Je,hC,,,,,,,,,
V,Je,P,,,,,,,,,
V,Je,hP,,,,,,,,,
V,hJe,S,,,,,,,,,
V,hJe,hS,,,,,,,,,
V,hJe,C,,,,,,,,,
V,hJe,hC,,,,,,,,,
V,hJe,P,,,,,,,,,
V,hJe,hP,,,,,,,,,
V,S,hS,,,,,,,,,
V,S,C,,,,,,,,,
V,S,hC,,,,,,,,,
V,S,P,,,,,,,,,
V,S,hP,,,,,,,,,
V,hS,C,,,,,,,,,
V,hS,hC,,,,,,,,,
V,hS,P,,,,,,,,,
V,hS,hP,,,,,,,,,
V,C,hC,,,,,,,,,
V,C,P,,,,,,,,,
V,C,hP,,,,,,,,,
V,hC,P,,,,,,,,,
V,hC,hP,,,,,,,,,
V,P,hP,,,,,,,,,
hV,A,hA,,,,,,,,,
hV,A,Je,,,,,,,,,
hV,A,hJe,,,,,,,,,
hV,A,S,,,,,,,,,
hV,A,hS,,,,,,,,,
hV,A,C,,,,,,,,,
hV,A,hC,,,,,,,,,
hV,A,P,,,,,,,,,
hV,A,hP,,,,,,,,,
hV,hA,Je,,,,,,,,,
hV,hA,hJe,,,,,,,,,
hV,hA,S,,,,,,,,,
hV,hA,hS,,,,,,,,,
hV,hA,C,,,,,,,,,
hV,hA,hC,,,,,,,,,
hV,hA,P,,,,,,,,,
